id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mom_7d_pct,mom_30d_pct,volume_mc_ratio,ath_drawdown_pct,z_mom7,z_mom30,z_vmc,z_dd,beta_pen,score_global,score_segment,z_slope,z_volacc,z_buzz_level,z_buzz_acc,z_buzz_combined,early_score
polygon-ecosystem-token,POL,1333983952.0,-0.13628354561512973,-0.2706316548225515,0.17719537586885448,-55.316142705757684,-56.2435143548945,-79.91744721384346,1.9178082191780823,0.7524550137267128,2403218.1741228574,3193836.3493923,0.7524550137267128,136.31051752921536,1.4484232197445686,0.8771035300432688,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.08118949644676546
quant-network,QNT,1265611315.0,1.4505785839952403,1.673189125007894,0.9311539882990486,-18.43512524627077,-35.57613931085587,-39.16876574307304,29.315068493150687,0.5406633935327808,835414.4351142859,1545165.5227766666,0.5406633935327808,48.889509708059784,1.1106533868358974,0.682950943727477,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5515989173591564,0.0,0.0,0,0,0,0,0,0.5019567375023682
arbitrum,ARB,1247742279.0,-0.3490366966390193,-0.482480269450619,-0.03766836007862005,-59.335645190728236,-63.6541598694943,,14.285714285714285,0.9130392350599131,54503.07449071429,59694.12090723333,0.9130392350599131,182.860092927207,-0.01123003593553264,0.08193132198569619,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9823246784874591,0.0,0.0,0,0,0,0,0,-0.1447440808351857
sky,SKY,1236118141.0,0.9551144625196848,1.0793556514968172,0.6652183549063757,-29.7022044604873,,,32.55813953488372,0.880796540742649,137798.26743795717,156447.33041500335,0.880796540742649,85.52977756517579,0.0524785514203601,-0.026858841805534626,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9935950725962936,0.0,0.0,0,0,0,0,0,0.32380669544904517
algorand,ALGO,1217319884.0,0.3067359866160496,0.24681534908655292,0.4465508075182087,-45.49837957473718,-56.68153546522586,-70.60390953081367,2.4657534246575343,0.5226546419829503,56235.8608029,107596.59684556,0.5226546419829503,93.88505747126439,1.735432510762481,0.9958318738685735,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.07404460472596587
official-trump,TRUMP,1179870751.0,0.7038978024476731,0.7321506670414846,0.6379744517287795,-36.28988642509464,-47.48573466476462,-87.30521369916158,3.9877300613496933,0.3866179683181969,3403125.40944,8802295.000006666,0.3866179683181969,71.17200518422513,0.49280953948910566,0.13993164816388576,mexc,0.8994791028407779,0.8994791028407779,0.8994791028407779,3.5,,,,,0,0,0,0,0.8418147030867522,0.0,0.0,0,0,0,0,0,0.21964520011244537
cosmos,ATOM,1122081112.0,0.029116850178522655,-0.07622726702770596,0.2749197903263894,-51.62761766535351,-55.022170811644486,-74.63303251060127,1.9178082191780823,0.6579587506462944,754702.5804128567,1147036.3144673333,0.6579587506462944,121.34006424965582,1.336037080091934,0.8376316752582197,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.02286818010831179
filecoin,FIL,1118648257.0,-0.11887478288210701,-0.23100001674097367,0.14275076278858187,-54.56419316843345,-54.56419316843345,-77.13735368202697,4.657534246575342,0.3628831992350859,2292644.1800994286,6317857.054093567,0.3628831992350859,148.42721287490855,1.5138253221235929,0.9522738357492382,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.0693000050222921
vechain,VET,1095502287.0,0.07575731952134512,-0.031079604359665138,0.3250434752437024,-50.7710100231303,-54.98766302432146,-78.7273030151591,1.643835616438356,0.6856559264155387,824870.208608957,1203038.1082260902,0.6856559264155387,110.21069692058347,1.663854017446894,0.9883767984041354,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.009323881307899542
flare-networks,FLR,1046175637.0,0.02086751669721327,-0.08854923129810632,0.27617326201962566,-51.86140803538518,-51.86140803538518,-57.375979112271544,3.5616438356164384,0.7944360488747102,980894.5609550572,1234705.5025315867,0.7944360488747102,120.211038961039,1.2907955925378385,0.6629508395760108,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5115633919715377,0.0,0.0,0,0,0,0,0,-0.026564769389431895
